InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
1.418720,40.7887,-0.002614,0.16861199999999998,4.995020,50.1424,0.000648,-0.07285599999999999,2,5.59388
5.907040,43.7975,-0.00358,0.059871,3.879700,51.5556,0.002097,-0.076783,2,5.24884
3.934110,42.6409,-0.0013050000000000002,0.060049,5.667370,56.9468,-0.00011399999999999999,-0.028681,2,5.3257900000000005
7.040930,40.7887,0.002607,-0.19195299999999998,4.762980,75.789,0.00074,-0.07285599999999999,2,5.17045
3.913950,54.8506,0.003878,-0.235166,6.728000,41.5755,-0.000361,0.024549,2,5.02384
1.461600,42.8384,-0.002723,0.242123,4.128660,50.0628,-0.001072,-0.016669999999999997,2,5.2752
5.187840,87.4145,0.0012720000000000001,-0.13311900000000002,4.190670,43.9986,-0.00143,-0.030420999999999997,2,5.24253
0.947507,48.9103,0.000923,-0.042526,3.256880,58.4043,0.0032259999999999997,-0.156445,2,5.244269999999999
0.348172,42.6409,-0.001778,0.11653499999999999,3.451960,75.789,-0.00011499999999999999,-0.028681,2,5.43326
7.040930,39.8914,0.002607,-0.17695999999999998,4.647180,84.7058,0.00223,-0.161422,2,5.36154
6.249200,47.108,0.002322,-0.14003,5.667370,74.7525,-0.0017420000000000003,0.08491699999999999,2,5.55549
3.892230,41.5699,-0.00242,0.131805,6.135490,38.4759,0.011156999999999999,-0.484896,2,5.3871199999999995
6.425650,44.5895,-0.004873,0.098087,0.693142,39.5897,-0.004227000000000001,0.330415,2,5.40841
1.461600,54.2546,-0.002606,0.242123,3.120130,41.1177,-0.0062369999999999995,0.24508400000000002,2,5.3657699999999995
4.056990,66.569,0.001127,-0.10895899999999999,2.425430,40.3091,-0.004268999999999999,0.258076,2,5.23714
3.889590,52.6772,0.005220000000000001,-0.254046,3.666430,38.1356,-0.003088,0.09811,2,5.30391
1.968920,37.7875,-0.003089,0.079295,3.666430,38.1356,-0.002997,0.09811,2,5.394369999999999
3.636960,51.113,0.005220000000000001,-0.24340100000000003,4.365290,37.9267,-0.0023239999999999997,0.109073,2,4.79791
